#t	x0	y0	x1	y1
0.001655	999.933350	399.999908	1199.932861	400.248138
0.003310	999.933350	399.999817	1199.931274	400.496277
0.004964	999.933350	399.999725	1199.928711	400.744415
0.006619	999.933350	399.999634	1199.925171	400.992523
0.008274	999.933350	399.999542	1199.920532	401.240631
0.009929	999.933350	399.999451	1199.914917	401.488739
0.011583	999.933350	399.999359	1199.908203	401.736816
0.013238	999.933350	399.999268	1199.900513	401.984894
0.014892	999.933350	399.999176	1199.891846	402.232941
0.016547	999.933350	399.999084	1199.882080	402.480957
0.018201	999.933350	399.998993	1199.871338	402.728973
0.019855	999.933350	399.998901	1199.859497	402.976959
0.021510	999.933350	399.998810	1199.846680	403.224915
0.023164	999.933350	399.998718	1199.832886	403.472839
0.024818	999.933350	399.998627	1199.817993	403.720703
0.026471	999.933350	399.998535	1199.802124	403.968536
0.028125	999.933350	399.998444	1199.785156	404.216339
0.029779	999.933350	399.998352	1199.767212	404.464111
0.031432	999.933350	399.998260	1199.748291	404.711823
0.033085	999.933350	399.998169	1199.728271	404.959473
0.034739	999.933350	399.998077	1199.707275	405.207092
0.036391	999.933350	399.997986	1199.685181	405.454651
0.038044	999.933350	399.997894	1199.662109	405.702148
0.039697	999.933350	399.997803	1199.638062	405.949585
0.041349	999.933350	399.997711	1199.612915	406.196960
0.043001	999.933350	399.997620	1199.586792	406.444275
0.044653	999.933350	399.997528	1199.559692	406.691528
0.046305	999.933350	399.997437	1199.531494	406.938721
0.047956	999.933350	399.997345	1199.502319	407.185852
0.049608	999.933350	399.997253	1199.472046	407.432892
0.051259	999.933350	399.997162	1199.440796	407.679871
0.052909	999.933350	399.997070	1199.408569	407.926758
0.054560	999.933350	399.996979	1199.375244	408.173584
0.056210	999.933350	399.996887	1199.340942	408.420319
0.057860	999.933350	399.996796	1199.305664	408.666962
0.059510	999.933350	399.996704	1199.269287	408.913513
0.061159	999.933350	399.996613	1199.231934	409.159973
0.062808	999.933350	399.996521	1199.193604	409.406342
0.064457	999.933350	399.996429	1199.154175	409.652618
0.066105	999.933350	399.996338	1199.113770	409.898804
0.067753	999.933350	399.996246	1199.072388	410.144897
0.069401	999.933350	399.996155	1199.030029	410.390869
0.071048	999.933350	399.996063	1198.986572	410.636749
0.072695	999.933350	399.995972	1198.942139	410.882507
0.074342	999.933350	399.995880	1198.896729	411.128174
0.075988	999.933350	399.995789	1198.850220	411.373718
0.077634	999.933350	399.995697	1198.802734	411.619141
0.079280	999.933350	399.995605	1198.754272	411.864441
0.080925	999.933350	399.995514	1198.704834	412.109650
0.082569	999.933350	399.995422	1198.654297	412.354736
0.084214	999.933350	399.995331	1198.602783	412.599670
0.085858	999.933350	399.995239	1198.550293	412.844482
0.087501	999.933350	399.995148	1198.496826	413.089172
0.089144	999.933350	399.995056	1198.442261	413.333740
0.090787	999.933350	399.994965	1198.386719	413.578156
0.092429	999.933350	399.994873	1198.330200	413.822449
0.094070	999.933350	399.994781	1198.272705	414.066589
0.095712	999.933350	399.994690	1198.214111	414.310608
0.097352	999.933350	399.994598	1198.154541	414.554474
0.098993	999.933350	399.994507	1198.093994	414.798187
0.100633	999.933350	399.994415	1198.032471	415.041748
0.102272	999.933350	399.994324	1197.969971	415.285156
0.103911	999.933350	399.994232	1197.906372	415.528412
0.105549	999.933350	399.994141	1197.841797	415.771515
0.107187	999.933350	399.994049	1197.776245	416.014465
0.108824	999.933350	399.993958	1197.709717	416.257263
0.110461	999.933350	399.993866	1197.642212	416.499878
0.112097	999.933350	399.993774	1197.573730	416.742340
0.113732	999.933350	399.993683	1197.504150	416.984650
0.115367	999.933350	399.993591	1197.433594	417.226776
0.117002	999.933350	399.993500	1197.362061	417.468719
0.118636	999.933350	399.993408	1197.289551	417.710510
0.120269	999.933350	399.993317	1197.216064	417.952118
0.121902	999.933350	399.993225	1197.141602	418.193542
0.123534	999.933350	399.993134	1197.066162	418.434784
0.125166	999.933350	399.993042	1196.989746	418.675842
0.126796	999.933350	399.992950	1196.912354	418.916718
0.128427	999.933350	399.992859	1196.833984	419.157410
0.130057	999.933350	399.992767	1196.754639	419.397919
0.131686	999.933350	399.992676	1196.674316	419.638214
0.133314	999.933350	399.992584	1196.593018	419.878326
0.134942	999.933350	399.992493	1196.510620	420.118225
0.136569	999.933350	399.992401	1196.427246	420.357941
0.138196	999.933350	399.992310	1196.342896	420.597443
0.139821	999.933350	399.992218	1196.257568	420.836761
0.141447	999.933350	399.992126	1196.171265	421.075867
0.143071	999.933350	399.992035	1196.084106	421.314758
0.144695	999.933350	399.991943	1195.995972	421.553436
0.146318	999.933350	399.991852	1195.906860	421.791901
0.147940	999.933350	399.991760	1195.816772	422.030151
0.149562	999.933350	399.991669	1195.725708	422.268188
0.151183	999.933411	399.991577	1195.633667	422.506012
0.152803	999.933472	399.991486	1195.540649	422.743622
0.154423	999.933533	399.991394	1195.446655	422.980988
0.156042	999.933594	399.991302	1195.351685	423.218140
0.157660	999.933655	399.991211	1195.255737	423.455078
0.159277	999.933716	399.991119	1195.158813	423.691772
0.160894	999.933777	399.991028	1195.060913	423.928223
0.162510	999.933838	399.990936	1194.962158	424.164459
0.164125	999.933899	399.990845	1194.862427	424.400452
0.165739	999.933960	399.990753	1194.761719	424.636200
0.167353	999.934021	399.990662	1194.660034	424.871704
